date,equity,trade_number,rolling_peak,drawdown_sek,drawdown_pct
2026-04-10,9999.13552464314,1,10000.0,-0.8644753568605665,-8.644753568609609e-05
2026-04-10,10004.875242467317,2,10004.875242467317,0.0,0.0
2026-04-13,10012.75790979002,3,10012.75790979002,0.0,0.0
2026-04-13,10020.02990969261,4,10020.02990969261,0.0,0.0
2026-04-13,10024.579789415857,5,10024.579789415857,0.0,0.0
2026-04-14,10028.670017723201,6,10028.670017723201,0.0,0.0
2026-04-14,10031.461204315765,7,10031.461204315765,0.0,0.0
2026-04-14,10027.369272836275,8,10031.461204315765,-4.091931479490086,-0.00040790981454719155
2026-04-14,10030.133295290358,9,10031.461204315765,-1.3279090254072798,-0.0001323744366210633
2026-04-15,10035.619961132456,10,10035.619961132456,0.0,0.0
2026-04-21,10043.40821865248,11,10043.40821865248,0.0,0.0
2026-04-21,10048.57175439942,12,10048.57175439942,0.0,0.0
2026-04-27,10056.645573805128,13,10056.645573805128,0.0,0.0
2026-04-27,10061.54951677699,14,10061.54951677699,0.0,0.0
2026-04-28,10058.746633159859,15,10061.54951677699,-2.8028836171306466,-0.00027857375372020154
2026-04-28,10054.05022154759,16,10061.54951677699,-7.4992952293996495,-0.0007453419790753868
2026-04-30,10066.220677440997,17,10066.220677440997,0.0,0.0
2026-05-04,10054.682868357451,18,10066.220677440997,-11.537809083545653,-0.0011461907555238016
2026-05-06,10066.406836516338,19,10066.406836516338,0.0,0.0
2026-05-06,10085.149331332774,20,10085.149331332774,0.0,0.0
2026-05-06,10092.638206414405,21,10092.638206414405,0.0,0.0
2026-05-06,10099.463830828323,22,10099.463830828323,0.0,0.0
2026-05-07,10081.320190263858,23,10099.463830828323,-18.143640564465386,-0.00179649542474547
2026-05-07,10070.918550650198,24,10099.463830828323,-28.545280178124813,-0.002826415407419125
2026-05-11,10087.139586137839,25,10099.463830828323,-12.324244690484193,-0.001220287026808764
2026-05-11,10087.413786923358,26,10099.463830828323,-12.050043904964696,-0.0011931369928948055
2026-05-11,10092.484113087867,27,10099.463830828323,-6.979717740456181,-0.000691097850081035
2026-05-12,10075.47720082813,28,10099.463830828323,-23.986630000192235,-0.0023750399429099955
2026-05-13,10092.34493938331,29,10099.463830828323,-7.118891445012196,-0.0007048781563315787
