date,ticker,entry_time,exit_time,exit_reason,entry_price,stop_price,target_price,exit_price,gap,opening_range_pct,gross_return,net_return,trade_number,pnl,equity
2026-04-10,ALFA.ST,2026-04-10 09:35:00,2026-04-10 17:25:00,close,548.5999755859375,543.5999755859375,553.5999755859375,548.4000244140625,0.004428089324838513,0.008830112295260983,-0.00036447535685990573,-0.0008644753568599057,1,-0.8644753568599057,9999.13552464314
2026-04-10,SHB-A.ST,2026-04-10 09:35:00,2026-04-10 12:40:00,target,128.1999969482422,127.4000015258789,128.99999237060547,128.99999237060547,0.004728120306592309,0.006279398844440287,0.006240214051535853,0.005740214051535852,2,5.739717824176787,10004.875242467317
2026-04-13,ALFA.ST,2026-04-13 09:40:00,2026-04-13 15:50:00,target,549.0,544.4000244140625,553.5999755859375,553.5999755859375,0.0014694852261070146,0.008817023471178187,0.008378826203893519,0.007878826203893519,3,7.882667322703702,10012.75790979002
2026-04-13,SHB-A.ST,2026-04-13 09:40:00,2026-04-13 17:25:00,close,128.9499969482422,127.94999694824219,129.9499969482422,129.60000610351562,0.007058775658701055,0.007034069376629315,0.005040784572754475,0.004540784572754475,4,4.546577664749987,10017.30448745477
2026-04-13,SEB-A.ST,2026-04-13 09:40:00,2026-04-13 15:45:00,target,180.35000610351562,178.9499969482422,181.75001525878906,181.75001525878906,0.0011123300603315123,0.006705766799142587,0.007762734171851804,0.0072627341718518035,5,7.275301961088219,10024.579789415859
2026-04-14,SHB-A.ST,2026-04-14 09:35:00,2026-04-14 15:00:00,target,131.0,130.39999389648438,131.60000610351562,131.60000610351562,0.016744620385315434,0.004984733019155252,0.004580199263477969,0.004080199263477968,6,4.090228307345072,10028.670017723203
2026-04-14,ALFA.ST,2026-04-14 09:45:00,2026-04-14 10:10:00,stop,558.7999877929688,556.7999877929688,560.7999877929688,556.7999877929688,0.02384446021447162,0.003951171435458534,-0.0035790981454727477,-0.004079098145472748,7,-4.090792927085287,10024.579224796118
2026-04-14,SEB-A.ST,2026-04-14 09:50:00,2026-04-14 10:20:00,target,184.25,183.64999389648438,184.85000610351562,184.85000610351562,0.02333331637912317,0.003539391107411749,0.0032564781737618453,0.0027564781737618453,8,2.763253383429694,10027.342478179547
2026-04-21,ERIC-B.ST,2026-04-21 09:55:00,2026-04-21 10:55:00,target,108.94999694824219,108.05000305175781,109.84999084472656,109.84999084472656,0.019294146369485343,0.0069412307155671815,0.008260614242255881,0.007760614242255881,9,7.781833684813758,10035.124311864362
2026-04-21,SHB-A.ST,2026-04-21 10:15:00,2026-04-21 10:25:00,target,132.9499969482422,132.1999969482422,133.6999969482422,133.6999969482422,0.006454108756355437,0.004916862104981101,0.005641218632686185,0.005141218632686184,10,5.159276809347918,10040.28358867371
2026-04-27,ERIC-B.ST,2026-04-27 09:40:00,2026-04-27 11:20:00,target,105.44999694824219,104.55000305175781,106.34999084472656,106.34999084472656,0.003354082215994314,0.006695331686366934,0.008534793006453212,0.008034793006453211,11,8.067160036108248,10048.350748709818
2026-04-27,SHB-A.ST,2026-04-27 09:45:00,2026-04-27 13:20:00,target,130.1999969482422,129.5,130.89999389648438,130.89999389648438,0.003098325930082746,0.0046332517645995,0.005376320773037069,0.004876320773037068,12,4.899898149069626,10053.250646858887
2026-04-28,SHB-A.ST,2026-04-28 09:55:00,2026-04-28 17:25:00,close,131.25,130.14999389648438,132.35000610351562,130.9499969482422,0.00694975981841206,0.008451833692673993,-0.0022857375372024036,-0.0027857375372024036,13,-2.8005717697859147,10050.450075089102
2026-04-28,SEB-A.ST,2026-04-28 11:00:00,2026-04-28 13:25:00,stop,179.89999389648438,179.14999389648438,180.64999389648438,179.14999389648438,0.00840807203654026,0.004186436090158896,-0.004168982909646735,-0.004668982909646735,14,-4.6925379634848765,10045.757537125617
