trade_number,time,equity
1,2026-04-10 17:25:00,9997.118415477134
2,2026-04-10 12:40:00,10016.252462315588
3,2026-04-13 15:50:00,10042.557899770556
4,2026-04-13 15:45:00,10066.806359447874
5,2026-04-13 17:25:00,10081.966907667105
6,2026-04-14 15:00:00,10095.679052317462
7,2026-04-14 17:25:00,10105.032453054087
8,2026-04-14 10:10:00,10091.32400888216
9,2026-04-15 10:25:00,10109.724469810257
10,2026-04-21 10:55:00,10135.877027045488
11,2026-04-21 10:25:00,10153.202461650659
12,2026-04-27 11:20:00,10180.39542169465
13,2026-04-27 13:20:00,10196.898845720183
14,2026-04-28 17:25:00,10187.43021776099
15,2026-04-28 13:25:00,10171.560502280301
16,2026-04-30 12:15:00,10212.602843669187
17,2026-05-04 11:35:00,10173.584207105023
18,2026-05-06 13:50:00,10213.126239034314
19,2026-05-06 10:50:00,10276.266394988319
20,2026-05-06 10:50:00,10301.448207293524
21,2026-05-07 10:55:00,10239.759858718005
22,2026-05-07 10:35:00,10204.33065244714
23,2026-05-11 15:30:00,10259.117051790456
24,2026-05-11 17:25:00,10260.041673171543
25,2026-05-11 15:50:00,10277.138650253177
26,2026-05-12 17:25:00,10219.411734082183
27,2026-05-13 12:55:00,10276.440750138469
28,2026-05-19 12:35:00,10304.897300628632
29,2026-05-19 15:45:00,10275.551580803558
30,2026-05-19 17:25:00,10280.289839266192
31,2026-05-20 14:55:00,10305.525470209122
32,2026-05-20 12:25:00,10321.874767658508
33,2026-05-21 11:25:00,10341.5709513327
34,2026-05-21 15:50:00,10372.152261188943
35,2026-05-21 17:25:00,10367.907491761714
36,2026-05-22 16:00:00,10410.274764927748
37,2026-05-22 14:10:00,10424.319101864683
38,2026-05-25 13:30:00,10447.36884773434
39,2026-05-25 17:25:00,10467.66602226632
40,2026-06-01 15:00:00,10432.43754465958
41,2026-06-01 17:25:00,10442.10476907387
42,2026-06-02 16:15:00,10493.186398607273
43,2026-06-03 16:15:00,10547.019817942723
44,2026-06-03 17:25:00,10560.679214824338
45,2026-06-03 12:05:00,10534.403760689103
46,2026-06-04 17:25:00,10518.457593329544
47,2026-06-04 10:35:00,10486.08403863555
48,2026-06-05 12:55:00,10507.518799254462
49,2026-06-09 17:20:00,10484.996883521511
50,2026-06-10 10:05:00,10497.488347704155
51,2026-06-11 12:00:00,10513.790322517161
52,2026-06-11 17:25:00,10519.76747143766
53,2026-06-12 11:50:00,10544.919029997925
54,2026-06-12 11:05:00,10577.791895717726
55,2026-06-12 12:15:00,10549.772015692368
56,2026-06-16 11:10:00,10534.383523953717
57,2026-06-17 12:45:00,10562.136104065197
58,2026-06-17 16:25:00,10594.77972848977
59,2026-06-18 12:55:00,10586.659859683406
60,2026-06-25 17:25:00,10591.250332608364
61,2026-06-26 17:25:00,10596.980777329029
62,2026-06-30 12:40:00,10615.145505580731
63,2026-06-30 12:50:00,10635.665166230061
64,2026-06-30 12:50:00,10656.998185598492
65,2026-07-01 12:40:00,10634.04989681543
