trade_number,time,equity
1,2026-04-10 17:25:00,9991.355246431402
2,2026-04-13 15:50:00,10070.075397959394
3,2026-04-14 15:00:00,10111.163312181316
4,2026-04-15 10:25:00,10166.473219572947
5,2026-04-21 10:55:00,10245.371296434278
6,2026-04-27 11:20:00,10327.690734075384
7,2026-04-28 17:25:00,10298.920498324853
8,2026-04-30 12:15:00,10423.589218803232
9,2026-05-04 11:35:00,10304.11500278354
10,2026-05-06 13:50:00,10424.263114643256
11,2026-05-07 10:55:00,10236.991704725257
12,2026-05-11 15:30:00,10401.876968064338
13,2026-05-12 17:25:00,10226.594245842338
14,2026-05-13 12:55:00,10397.801539164973
15,2026-05-19 12:35:00,10484.179373187508
16,2026-05-20 14:55:00,10561.387764839272
17,2026-05-21 11:25:00,10621.847430729355
18,2026-05-22 16:00:00,10752.062340145712
19,2026-05-25 13:30:00,10823.385647335359
20,2026-06-01 15:00:00,10714.108737441065
21,2026-06-02 16:15:00,10871.345466647463
22,2026-06-03 16:15:00,11038.665957396843
23,2026-06-04 17:25:00,10988.537515736065
24,2026-06-05 12:55:00,11055.92301550907
25,2026-06-09 17:20:00,10984.830903870987
26,2026-06-10 10:05:00,11024.091751531441
27,2026-06-11 12:00:00,11075.451027231627
28,2026-06-12 11:50:00,11154.891430030193
29,2026-06-16 11:10:00,11106.077971020488
30,2026-06-17 12:45:00,11193.854057180892
31,2026-06-18 12:55:00,11168.117054040335
32,2026-06-25 17:25:00,11182.644848350956
33,2026-06-26 17:25:00,11200.796112683838
34,2026-06-30 12:40:00,11258.39537284997
35,2026-07-01 12:40:00,11185.66544353483
