trade_number,time,equity
1,2026-04-10 17:25:00,9998.27104928628
2,2026-04-10 12:40:00,10009.751477389353
3,2026-04-13 15:50:00,10025.524495836256
4,2026-04-13 15:45:00,10040.064128657572
5,2026-04-13 17:25:00,10049.1545536747
6,2026-04-14 15:00:00,10057.355064276397
7,2026-04-14 17:25:00,10062.948840002837
8,2026-04-14 10:10:00,10054.750542462143
9,2026-04-14 10:20:00,10060.290597500536
10,2026-04-15 10:25:00,10071.296922373369
11,2026-04-21 10:55:00,10086.928812440121
12,2026-04-21 10:25:00,10097.284560318645
13,2026-04-27 11:20:00,10113.510478592529
14,2026-04-27 13:20:00,10123.357998283078
15,2026-04-28 17:25:00,10117.717794607406
16,2026-04-28 13:25:00,10108.264637510962
17,2026-04-30 12:15:00,10132.736802701873
18,2026-05-04 11:35:00,10109.508704199048
19,2026-05-06 13:50:00,10133.084496633639
20,2026-05-06 10:50:00,10170.729987733366
21,2026-05-06 10:50:00,10185.743914713546
22,2026-05-06 11:00:00,10199.417982487073
23,2026-05-07 10:55:00,10162.771567005864
24,2026-05-07 10:35:00,10141.724587419725
25,2026-05-11 15:30:00,10174.394750247682
26,2026-05-11 17:25:00,10174.946119409306
27,2026-05-11 15:50:00,10185.141369175997
28,2026-05-12 17:25:00,10150.815269936673
29,2026-05-13 12:55:00,10184.802999685322
30,2026-05-19 12:35:00,10201.724677210044
31,2026-05-19 15:45:00,10184.274255459792
32,2026-05-19 17:25:00,10187.091859152171
33,2026-05-19 12:00:00,10167.447701082372
34,2026-05-20 14:55:00,10182.422879515729
35,2026-05-20 12:25:00,10192.124782635103
36,2026-05-21 11:25:00,10203.793939620697
37,2026-05-21 15:50:00,10221.912074150747
38,2026-05-21 17:25:00,10219.397227537142
39,2026-05-21 11:05:00,10227.338215904847
40,2026-05-22 16:00:00,10252.413927602638
41,2026-05-22 14:10:00,10260.726280928686
42,2026-05-25 13:30:00,10274.339091371407
43,2026-05-25 17:25:00,10286.32627730348
44,2026-06-01 15:00:00,10265.55536538416
45,2026-06-01 17:25:00,10271.2552161996
46,2026-06-02 16:15:00,10301.40272757207
47,2026-06-03 16:15:00,10333.112432043743
48,2026-06-03 17:25:00,10341.158278726421
49,2026-06-03 12:05:00,10325.681147684538
50,2026-06-04 17:25:00,10316.303016178119
51,2026-06-04 10:35:00,10297.263741949724
52,2026-06-05 12:55:00,10309.89301609202
53,2026-06-09 17:20:00,10296.634022442218
54,2026-06-10 10:05:00,10303.994255536532
55,2026-06-11 12:00:00,10313.595149536888
56,2026-06-11 17:25:00,10317.115334905122
57,2026-06-12 11:50:00,10331.9155592194
58,2026-06-12 11:05:00,10351.25932216516
59,2026-06-12 12:15:00,10334.771258070014
60,2026-06-12 10:30:00,10354.169544627799
61,2026-06-12 12:35:00,10335.21839723119
62,2026-06-16 11:10:00,10326.17307818431
63,2026-06-17 12:45:00,10342.495511003224
64,2026-06-17 16:25:00,10361.694567973624
65,2026-06-18 12:55:00,10356.929828961034
66,2026-06-25 17:25:00,10359.624344885548
67,2026-06-26 17:25:00,10362.987418334153
68,2026-06-30 12:40:00,10373.645596599375
69,2026-06-30 12:50:00,10385.685534555614
70,2026-06-30 12:50:00,10398.202711813296
71,2026-06-30 15:55:00,10408.120945697334
72,2026-07-01 12:40:00,10394.673524895086
