scenario,max_positions,trades_taken,final_equity,total_return,win_rate,avg_trade,profit_factor,max_drawdown
1,1,35,11185.66544353483,0.1185665443534829,0.6857142857142857,0.0032448596677458474,2.3214862220433132,-0.018962382916375864
2,2,56,10943.99039889056,0.09439903988905618,0.7321428571428571,0.003248569985933651,2.535465015807749,-0.014442241331436678
3,3,65,10634.04989681543,0.06340498968154296,0.7076923076923077,0.0028541498811425364,2.3314667799406052,-0.009427563279658435
5,5,72,10394.673524895086,0.03946735248950861,0.7083333333333334,0.002698515216640346,2.231435415543771,-0.005656537967794861
