date,ticker,entry_time,exit_time,exit_reason,entry_price,stop_price,target_price,exit_price,gap,opening_range_pct,gross_return,net_return,position_size_sek,pnl_sek,equity_after_trade
2026-04-10,ALFA.ST,2026-04-10 09:35:00,2026-04-10 17:25:00,close,548.5999755859375,543.5999755859375,553.5999755859375,548.4000244140625,0.004428089324838513,0.008830112295260983,-0.00036447535685990573,-0.0008644753568599057,10000.0,-8.644753568599057,9991.355246431402
2026-04-13,ALFA.ST,2026-04-13 09:40:00,2026-04-13 15:50:00,target,549.0,544.4000244140625,553.5999755859375,553.5999755859375,0.0014694852261070146,0.008817023471178187,0.008378826203893519,0.007878826203893519,9991.355246431402,78.72015152799271,10070.075397959394
2026-04-14,SHB-A.ST,2026-04-14 09:35:00,2026-04-14 15:00:00,target,131.0,130.39999389648438,131.60000610351562,131.60000610351562,0.016744620385315434,0.004984733019155252,0.004580199263477969,0.004080199263477968,10070.075397959394,41.08791422192153,10111.163312181316
2026-04-15,ATCO-A.ST,2026-04-15 09:40:00,2026-04-15 10:25:00,target,184.25,183.14999389648438,185.35000610351562,185.35000610351562,0.012983459135445408,0.006006039531387231,0.005970182380003353,0.005470182380003352,10111.163312181316,55.30990739163057,10166.473219572947
2026-04-21,ERIC-B.ST,2026-04-21 09:55:00,2026-04-21 10:55:00,target,108.94999694824219,108.05000305175781,109.84999084472656,109.84999084472656,0.019294146369485343,0.0069412307155671815,0.008260614242255881,0.007760614242255881,10166.473219572947,78.89807686133081,10245.371296434278
2026-04-27,ERIC-B.ST,2026-04-27 09:40:00,2026-04-27 11:20:00,target,105.44999694824219,104.55000305175781,106.34999084472656,106.34999084472656,0.003354082215994314,0.006695331686366934,0.008534793006453212,0.008034793006453211,10245.371296434278,82.3194376411066,10327.690734075384
2026-04-28,SHB-A.ST,2026-04-28 09:55:00,2026-04-28 17:25:00,close,131.25,130.14999389648438,132.35000610351562,130.9499969482422,0.00694975981841206,0.008451833692673993,-0.0022857375372024036,-0.0027857375372024036,10327.690734075384,-28.770235750531246,10298.920498324853
2026-04-30,ERIC-B.ST,2026-04-30 10:00:00,2026-04-30 12:15:00,target,107.0999984741211,105.75,108.44999694824219,108.44999694824219,0.005188708035451128,0.011820330969267046,0.012605027949158076,0.012105027949158076,10298.920498324853,124.66872047837936,10423.589218803232
2026-05-04,SEB-A.ST,2026-05-04 09:40:00,2026-05-04 11:35:00,stop,182.4499969482422,180.4499969482422,184.4499969482422,180.4499969482422,0.015712699773900995,0.008312552094031034,-0.010961907555237516,-0.011461907555237516,10423.589218803232,-119.47421601969309,10304.11500278354
2026-05-06,ALFA.ST,2026-05-06 09:35:00,2026-05-06 13:50:00,target,559.2000122070312,552.4000244140625,566.0,566.0,0.018362101447472412,0.011947819142365423,0.012160206803520701,0.0116602068035207,10304.11500278354,120.14811185971635,10424.263114643256
2026-05-07,ATCO-A.ST,2026-05-07 09:35:00,2026-05-07 10:55:00,stop,188.9499969482422,185.64999389648438,192.25,185.64999389648438,0.05225988700564965,0.017775400809320052,-0.017464954247454978,-0.01796495424745498,10424.263114643256,-187.27140991799862,10236.991704725257
2026-05-11,ERIC-B.ST,2026-05-11 09:55:00,2026-05-11 15:30:00,target,111.4000015258789,109.55000305175781,113.25,113.25,0.0013655123164544314,0.015974440449565197,0.016606808337352952,0.01610680833735295,10236.991704725257,164.88526333908177,10401.876968064338
2026-05-12,ERIC-B.ST,2026-05-12 09:35:00,2026-05-12 17:25:00,close,116.19999694824219,113.8499984741211,118.54999542236328,114.30000305175781,0.03909093683416187,0.018884510801004728,-0.016351066664232916,-0.016851066664232917,10401.876968064338,-175.28272222200113,10226.594245842338
2026-05-13,ERIC-B.ST,2026-05-13 10:00:00,2026-05-13 12:55:00,close,116.0,113.8499984741211,118.1500015258789,118.0,0.0043744530765550405,0.023276254382043504,0.01724137931034475,0.01674137931034475,10226.594245842338,171.2072933226356,10397.801539164973
