trade_number,exit_time,ticker,pnl_sek,strategy_version,equity,rolling_peak,drawdown_sek,drawdown_pct
1,2026-07-01 12:40:00,SEB-A.ST,-5.9600617500545,ORB_V0,9994.039938249945,10000.0,-5.960061750054592,-0.0005960061750054368
2,2026-07-02 12:35:00,EVO.ST,10.956415622469,ORB_V0,10004.996353872415,10004.996353872415,0.0,0.0
3,2026-07-03 10:25:00,SHB-A.ST,-3.1358672351371464,ORB_BEST_BASKET_V1,10001.860486637277,10004.996353872415,-3.1358672351379937,-0.0003134301227331049
4,2026-07-03 10:50:00,SEB-A.ST,-4.319136637879417,ORB_BEST_BASKET_V1,9997.541349999397,10004.996353872415,-7.455003873017631,-0.0007451280949375416
