r_multiple,max_opening_range,min_gap,breakout_start,breakout_end,trades,final_equity,total_return,win_rate,avg_trade,max_drawdown,profit_factor
1.0,0.03,0.0,09:35,11:00,102,10215.7686773719,0.02157686773718992,0.6764705882352942,0.002096537414768532,-0.004908427875115584,1.7900664677588203
1.0,0.02,0.0,09:35,11:00,99,10214.670651111945,0.02146706511119456,0.6767676767676768,0.002148901384782248,-0.004908427875115584,1.8418329345560414
1.0,0.03,0.0025,09:35,11:00,88,10195.468882909305,0.01954688829093043,0.6704545454545454,0.0022033608470950696,-0.0050773454959842645,1.8675011132645545
1.0,0.03,0.0,09:35,10:30,96,10191.118422972102,0.019111842297210302,0.6666666666666666,0.0019758152525214366,-0.004908427875115473,1.7128021440479309
1.0,0.02,0.0,09:35,10:30,93,10190.023046207016,0.019002304620701516,0.6666666666666666,0.0020276632798829058,-0.004908427875115806,1.760042194246547
1.0,0.015,0.0,09:35,11:00,93,10184.70613254977,0.01847061325497701,0.6774193548387096,0.0019707622526817406,-0.005107149010073586,1.8423190556621944
1.0,0.03,0.0,09:35,10:00,83,10180.961168529942,0.018096116852994282,0.6626506024096386,0.002164731495301194,-0.004002557675657492,1.7841453645223917
1.0,0.02,0.0,09:35,10:00,80,10179.866883501803,0.017986688350180247,0.6625,0.002232089186213143,-0.004057960684137885,1.8457280257128987
1.0,0.02,0.0025,09:35,11:00,86,10175.928736321019,0.017592873632101824,0.6627906976744186,0.0020313668030558537,-0.0050773454959841535,1.7815519085731772
1.0,0.03,0.0025,09:35,10:30,82,10170.867611127813,0.01708676111278118,0.6585365853658537,0.002069843932683339,-0.005077345495984487,1.7752895640571351
1.0,0.015,0.0025,09:35,11:00,81,10162.41995949675,0.016241995949675125,0.6666666666666666,0.0019919013062483417,-0.004101653156392104,1.8559326464249735
1.0,0.015,0.0,09:35,10:30,87,10160.13083086831,0.016013083086831026,0.6666666666666666,0.0018288774417824084,-0.005107149010073253,1.747159879645809
1.0,0.02,0.0025,09:35,10:30,80,10151.374614156912,0.015137461415691167,0.65,0.0018816124124808888,-0.005077345495984487,1.6875367030044697
1.0,0.015,0.0,09:35,10:00,74,10150.004461049844,0.01500044610498441,0.6621621621621622,0.002014956585175821,-0.003727642734042136,1.847043366065562
1.0,0.01,0.0,09:35,11:00,71,10145.636574000428,0.014563657400042729,0.7183098591549296,0.0020384321216845246,-0.002966693353715244,2.0779682657863408
1.0,0.03,0.0025,09:35,10:00,72,10144.326661628978,0.014432666162897734,0.6388888888888888,0.001994115772485936,-0.005604211912676904,1.7072681977910564
1.0,0.015,0.0025,09:35,10:30,75,10137.898433488235,0.013789843348823494,0.6533333333333333,0.0018290060498904448,-0.004101653156392215,1.7460506985598878
1.0,0.03,0.005,09:35,11:00,78,10128.951867491352,0.012895186749135146,0.6410256410256411,0.0016462313297168258,-0.005577181047892621,1.5772768498143996
1.0,0.02,0.005,09:35,11:00,77,10126.463967271096,0.012646396727109543,0.6363636363636364,0.0016357040720349932,-0.005577181047892621,1.566143392854777
1.0,0.02,0.0025,09:35,10:00,70,10124.884531768737,0.012488453176873637,0.6285714285714286,0.0017768303733917818,-0.006391246748149282,1.612577424847788
1.0,0.01,0.0,09:35,10:30,65,10121.155545651493,0.012115554565149234,0.7076923076923077,0.0018547712088502913,-0.002966693353714911,1.9302216899837126
1.0,0.01,0.0,09:35,10:00,54,10113.24231647781,0.011324231647781069,0.7037037037037037,0.002087358637549211,-0.002592256696301587,2.0952211631368236
1.0,0.01,0.0025,09:35,11:00,60,10113.214897156906,0.01132148971569058,0.7,0.0018782571100033802,-0.002966693353715355,1.9769192116133345
1.0,0.015,0.005,09:35,11:00,72,10113.020856052693,0.011302085605269241,0.6388888888888888,0.0015638288095834267,-0.004101653156392104,1.6006932855219367
1.0,0.015,0.0025,09:35,10:00,65,10111.443517286883,0.01114435172868844,0.6307692307692307,0.0017080705673959533,-0.003727642734042136,1.6610006481773227
1.0,0.03,0.005,09:35,10:30,73,10110.41344176234,0.011041344176234036,0.6301369863013698,0.0015079285850154974,-0.005577181047892843,1.5052656693706667
1.0,0.02,0.005,09:35,10:30,72,10107.930094999747,0.010793009499974637,0.625,0.001494749396318241,-0.005577181047892843,1.4938999961168427
1.0,0.02,0.01,09:35,11:00,55,10102.400536167583,0.010240053616758171,0.6545454545454545,0.0018565425117713975,-0.005604211912676904,1.6053372941761157
1.0,0.03,0.01,09:35,11:00,55,10102.400536167583,0.010240053616758171,0.6545454545454545,0.0018565425117713975,-0.005604211912676904,1.6053372941761157
0.5,0.01,0.0,09:35,11:00,71,10096.98455868654,0.009698455868653921,0.8450704225352113,0.001360367818411044,-0.0021258174462597257,2.0957721390352386
1.5,0.03,0.0,09:35,10:00,83,10096.922937110889,0.009692293711088817,0.5301204819277109,0.0011672145738674496,-0.0059995549839868545,1.3235577956689661
1.5,0.02,0.0,09:35,10:00,80,10095.837684803433,0.009583768480343258,0.525,0.001197165380225633,-0.007338568691710012,1.3404003690332755
2.0,0.03,0.0,09:35,11:00,102,10095.772134188546,0.009577213418854535,0.5294117647058824,0.0009393590349633603,-0.0070885857642714045,1.267509341919707
1.5,0.03,0.0,09:35,11:00,102,10095.727673326404,0.009572767332640453,0.5392156862745098,0.0009386191323567171,-0.006407412698653858,1.2677069538876884
1.0,0.02,0.01,09:35,10:30,54,10094.931887541657,0.009493188754165827,0.6481481481481481,0.0017539152604238645,-0.005604211912676904,1.5612569631236448
1.0,0.03,0.01,09:35,10:30,54,10094.931887541657,0.009493188754165827,0.6481481481481481,0.0017539152604238645,-0.005604211912676904,1.5612569631236448
2.0,0.02,0.0,09:35,11:00,99,10094.687005573369,0.00946870055733684,0.5252525252525253,0.0009566569934678289,-0.00874807820575807,1.278497068896579
1.5,0.02,0.0,09:35,11:00,99,10094.64254949004,0.009464254949004047,0.5353535353535354,0.0009558946695700754,-0.007853827991030182,1.2786993376946156
1.0,0.015,0.005,09:35,10:30,67,10094.51158791829,0.009451158791829117,0.6268656716417911,0.0014069913026600836,-0.004101653156392215,1.515570602045178
2.0,0.03,0.0,09:35,10:00,83,10089.782478241008,0.008978247824100727,0.5180722891566265,0.0010822328250668792,-0.0069197090746452306,1.2994285309612204
1.0,0.03,0.005,09:35,10:00,64,10089.098873303596,0.008909887330359467,0.609375,0.0013899110694281305,-0.006391246748148838,1.440310492833193
1.0,0.015,0.01,09:35,11:00,50,10088.989369701228,0.008898936970122895,0.66,0.001775125977814782,-0.0025962225835314268,1.6637745155708497
1.0,0.01,0.0025,09:35,10:30,54,10088.812101059259,0.008881210105925907,0.6851851851851852,0.001639386565479083,-0.002966693353715133,1.7996782477503295
2.0,0.02,0.0,09:35,10:00,80,10088.697993414842,0.00886979934148413,0.5125,0.0011089968158450412,-0.008579483766477214,1.3147340659429458
1.0,0.02,0.005,09:35,10:00,63,10086.620761882257,0.008662076188225676,0.6031746031746031,0.0013729758455901968,-0.006391246748148838,1.4280675136518397
0.5,0.01,0.0,09:35,10:00,54,10082.892864539966,0.008289286453996736,0.8518518518518519,0.001529655853446316,-0.0021258174462599477,2.3432389151269004
0.5,0.015,0.0,09:35,11:00,93,10082.597297014472,0.008259729701447283,0.7741935483870968,0.0008859500311128516,-0.004969254647976373,1.480569253913152
1.0,0.015,0.01,09:35,10:30,49,10081.530635876212,0.008153063587621245,0.6530612244897959,0.001660364996044917,-0.0025962225835314268,1.6082307013582338
1.0,0.01,0.01,09:35,11:00,33,10080.878800149661,0.008087880014966187,0.7575757575757576,0.0024432576318735907,-0.0021258174462596147,2.327308153092894
0.5,0.03,0.0,09:35,11:00,102,10080.83789240083,0.008083789240083128,0.7647058823529411,0.0007913475941892425,-0.005078741849563806,1.3595758884640372
0.5,0.03,0.0025,09:35,11:00,88,10080.603454845244,0.0080603454845245,0.7613636363636364,0.0009141957631203739,-0.005083400612347244,1.4339282132095852
0.5,0.01,0.0,09:35,10:30,65,10080.434031487577,0.008043403148757733,0.8307692307692308,0.0012335166103734079,-0.0021258174462597257,1.9096700529721515
